       0,   1.000,   4.533
       1,   0.999,   4.529
       2,   0.999,   4.529
       3,   0.999,   4.527
       4,   0.999,   4.527
       5,   0.998,   4.525
       6,   0.998,   4.524
       7,   0.998,   4.523
       8,   0.997,   4.521
       9,   0.997,   4.519
      10,   0.997,   4.517
      11,   0.996,   4.514
      12,   0.995,   4.511
      13,   0.995,   4.509
      14,   0.994,   4.507
      15,   0.994,   4.506
      16,   0.994,   4.504
      17,   0.993,   4.501
      18,   0.993,   4.500
      19,   0.993,   4.499
      20,   0.992,   4.495
      21,   0.991,   4.494
      22,   0.991,   4.492
      23,   0.991,   4.491
      24,   0.990,   4.489
      25,   0.990,   4.487
      26,   0.990,   4.485
      27,   0.989,   4.484
      28,   0.989,   4.484
      29,   0.989,   4.481
      30,   0.988,   4.479
      31,   0.988,   4.477
      32,   0.987,   4.472
      33,   0.986,   4.469
      34,   0.985,   4.467
      35,   0.985,   4.466
      36,   0.985,   4.465
      37,   0.984,   4.459
      38,   0.983,   4.457
      39,   0.983,   4.455
      40,   0.982,   4.453
      41,   0.982,   4.451
      42,   0.982,   4.450
      43,   0.981,   4.448
      44,   0.981,   4.447
      45,   0.980,   4.441
      46,   0.979,   4.439
      47,   0.979,   4.436
      48,   0.978,   4.433
      49,   0.978,   4.432
      50,   0.977,   4.429
      51,   0.976,   4.426
      52,   0.976,   4.424
      53,   0.976,   4.423
      54,   0.976,   4.422
      55,   0.975,   4.420
      56,   0.975,   4.418
      57,   0.975,   4.417
      58,   0.974,   4.416
      59,   0.974,   4.416
      60,   0.974,   4.413
      61,   0.973,   4.411
      62,   0.973,   4.410
      63,   0.973,   4.409
      64,   0.972,   4.407
      65,   0.972,   4.405
      66,   0.972,   4.404
      67,   0.971,   4.402
      68,   0.971,   4.399
      69,   0.970,   4.398
      70,   0.970,   4.396
      71,   0.969,   4.394
      72,   0.968,   4.389
      73,   0.968,   4.388
      74,   0.968,   4.388
      75,   0.968,   4.386
      76,   0.967,   4.384
      77,   0.967,   4.383
      78,   0.967,   4.383
      79,   0.967,   4.381
      80,   0.966,   4.380
      81,   0.966,   4.379
      82,   0.966,   4.377
      83,   0.965,   4.375
      84,   0.964,   4.371
      85,   0.964,   4.369
      86,   0.964,   4.368
      87,   0.963,   4.366
      88,   0.963,   4.364
      89,   0.962,   4.362
      90,   0.962,   4.361
      91,   0.962,   4.360
      92,   0.962,   4.358
      93,   0.961,   4.357
      94,   0.961,   4.356
      95,   0.961,   4.354
      96,   0.960,   4.352
      97,   0.959,   4.346
      98,   0.959,   4.346
      99,   0.959,   4.344
     100,   0.958,   4.343
     101,   0.958,   4.342
     102,   0.958,   4.342
     103,   0.958,   4.341
     104,   0.958,   4.340
     105,   0.957,   4.339
     106,   0.957,   4.338
     107,   0.957,   4.337
     108,   0.956,   4.335
     109,   0.956,   4.332
     110,   0.955,   4.329
     111,   0.955,   4.327
     112,   0.955,   4.326
     113,   0.954,   4.324
     114,   0.954,   4.322
     115,   0.953,   4.321
     116,   0.953,   4.320
     117,   0.953,   4.317
     118,   0.952,   4.315
     119,   0.951,   4.312
     120,   0.951,   4.309
     121,   0.951,   4.309
     122,   0.950,   4.307
     123,   0.950,   4.305
     124,   0.950,   4.304
     125,   0.949,   4.301
     126,   0.949,   4.300
     127,   0.948,   4.298
     128,   0.947,   4.293
     129,   0.946,   4.289
     130,   0.946,   4.288
     131,   0.945,   4.284
     132,   0.945,   4.281
     133,   0.944,   4.280
     134,   0.944,   4.278
     135,   0.944,   4.278
     136,   0.944,   4.276
     137,   0.943,   4.275
     138,   0.943,   4.275
     139,   0.943,   4.274
     140,   0.943,   4.272
     141,   0.942,   4.271
     142,   0.942,   4.271
     143,   0.942,   4.270
     144,   0.942,   4.268
     145,   0.941,   4.265
     146,   0.941,   4.264
     147,   0.941,   4.264
     148,   0.940,   4.260
     149,   0.940,   4.259
     150,   0.939,   4.258
     151,   0.939,   4.257
     152,   0.939,   4.256
     153,   0.939,   4.255
     154,   0.938,   4.253
     155,   0.938,   4.251
     156,   0.938,   4.249
     157,   0.937,   4.247
     158,   0.937,   4.247
     159,   0.936,   4.244
     160,   0.936,   4.243
     161,   0.936,   4.242
     162,   0.936,   4.241
     163,   0.935,   4.240
     164,   0.935,   4.239
     165,   0.935,   4.237
     166,   0.934,   4.235
     167,   0.934,   4.233
     168,   0.934,   4.232
     169,   0.934,   4.231
     170,   0.933,   4.230
     171,   0.933,   4.228
     172,   0.932,   4.224
     173,   0.932,   4.222
     174,   0.931,   4.219
     175,   0.931,   4.218
     176,   0.930,   4.216
     177,   0.930,   4.214
     178,   0.929,   4.212
     179,   0.929,   4.209
     180,   0.928,   4.208
     181,   0.928,   4.206
     182,   0.928,   4.205
     183,   0.927,   4.203
     184,   0.927,   4.203
     185,   0.927,   4.202
     186,   0.927,   4.200
     187,   0.926,   4.198
     188,   0.926,   4.197
     189,   0.926,   4.196
     190,   0.926,   4.196
     191,   0.926,   4.195
     192,   0.926,   4.195
     193,   0.925,   4.194
     194,   0.925,   4.191
     195,   0.925,   4.191
     196,   0.924,   4.189
     197,   0.924,   4.187
     198,   0.924,   4.186
     199,   0.923,   4.185
     200,   0.923,   4.183
     201,   0.923,   4.181
     202,   0.922,   4.180
     203,   0.922,   4.180
     204,   0.922,   4.178
     205,   0.921,   4.176
     206,   0.921,   4.175
     207,   0.921,   4.173
     208,   0.920,   4.171
     209,   0.920,   4.170
     210,   0.920,   4.169
     211,   0.920,   4.168
     212,   0.920,   4.168
     213,   0.919,   4.164
     214,   0.919,   4.164
     215,   0.918,   4.162
     216,   0.918,   4.160
     217,   0.918,   4.159
     218,   0.917,   4.157
     219,   0.917,   4.156
     220,   0.917,   4.155
     221,   0.916,   4.153
     222,   0.916,   4.152
     223,   0.916,   4.151
     224,   0.916,   4.150
     225,   0.915,   4.147
     226,   0.915,   4.147
     227,   0.914,   4.145
     228,   0.914,   4.145
     229,   0.914,   4.142
     230,   0.914,   4.141
     231,   0.913,   4.140
     232,   0.913,   4.136
     233,   0.912,   4.135
     234,   0.912,   4.134
     235,   0.912,   4.134
     236,   0.912,   4.132
     237,   0.911,   4.129
     238,   0.911,   4.129
     239,   0.910,   4.126
